protocol,strategy_name,strategy_type,source_pattern_original,portable_source_hint,source_files,source_rows,source_unique_dates,source_start_date,source_end_date,source_rows_per_file_min,source_rows_per_file_max,replications_per_date_min,replications_per_date_max,return_column,return_semantics,history_semantics,timezone_kind,duplicate_dates,missing_returns,source_set_sha256,aligned_observations,aligned_start_date,aligned_end_date,aligned_index_equals_td3
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,/Users/thiagoherrera/Desktop/portfolio_drl_td3/outputs/tables/final_corrected_limited_td3_60ep_10seeds/per_candidate/V3_real_macro_vintage_clean_no_dxy/F*_V3_real_macro_vintage_clean_no_dxy_cap_0p70_seed_*/test_policy_history.csv,repo://outputs/tables/final_corrected_limited_td3_60ep_10seeds/per_candidate/V3_real_macro_vintage_clean_no_dxy/F*_V3_real_macro_vintage_clean_no_dxy_cap_0p70_seed_*/test_policy_history.csv,40,2280,228,2022-01-07,2026-05-15,52,72,10,10,financial_net_return,net return after asset-specific transaction costs,"returns, weights, turnover, costs, equity and drawdown",naive,0,0,704e9780d2f825ef867e54ee73f7d5613a4ea8a72b1303e7cd1d231966303be8,228,2022-01-07,2026-05-15,True
zero_cash,V4_real_garch_current_cap_0p70,TD3,/Users/thiagoherrera/Desktop/portfolio_drl_td3/outputs/tables/final_corrected_limited_td3_60ep_10seeds/per_candidate/V4_real_garch_current/F*_V4_real_garch_current_cap_0p70_seed_*/test_policy_history.csv,repo://outputs/tables/final_corrected_limited_td3_60ep_10seeds/per_candidate/V4_real_garch_current/F*_V4_real_garch_current_cap_0p70_seed_*/test_policy_history.csv,40,2280,228,2022-01-07,2026-05-15,52,72,10,10,financial_net_return,net return after asset-specific transaction costs,"returns, weights, turnover, costs, equity and drawdown",naive,0,0,e605592d5b506e4f99b977b1f2a36094938928ffe5ba65bea3cba3f5fc4d023f,228,2022-01-07,2026-05-15,True
zero_cash,V5_no_volatility_block_cap_0p50,TD3,/Users/thiagoherrera/Desktop/portfolio_drl_td3/outputs/tables/final_corrected_limited_td3_60ep_10seeds/per_candidate/V5_no_volatility_block/F*_V5_no_volatility_block_cap_0p50_seed_*/test_policy_history.csv,repo://outputs/tables/final_corrected_limited_td3_60ep_10seeds/per_candidate/V5_no_volatility_block/F*_V5_no_volatility_block_cap_0p50_seed_*/test_policy_history.csv,40,2280,228,2022-01-07,2026-05-15,52,72,10,10,financial_net_return,net return after asset-specific transaction costs,"returns, weights, turnover, costs, equity and drawdown",naive,0,0,9ff5a3f3c8890f81f047e4f66daa01ea51e7ee239af90f94c79c0904187a0b66,228,2022-01-07,2026-05-15,True
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,/Users/thiagoherrera/Desktop/portfolio_drl_td3/outputs/tables/final_corrected_limited_td3_60ep_10seeds/per_candidate/V7_real_macro_vintage_clean_no_dxy_garch/F*_V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80_seed_*/test_policy_history.csv,repo://outputs/tables/final_corrected_limited_td3_60ep_10seeds/per_candidate/V7_real_macro_vintage_clean_no_dxy_garch/F*_V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80_seed_*/test_policy_history.csv,40,2280,228,2022-01-07,2026-05-15,52,72,10,10,financial_net_return,net return after asset-specific transaction costs,"returns, weights, turnover, costs, equity and drawdown",naive,0,0,7552c2af8c8f6495bf438f51d3752e5c17213a805934f52367443f2df3def36b,228,2022-01-07,2026-05-15,True
zero_cash,V8_ewma_garch_vol_current_cap_uncapped,TD3,/Users/thiagoherrera/Desktop/portfolio_drl_td3/outputs/tables/final_corrected_limited_td3_60ep_10seeds/per_candidate/V8_ewma_garch_vol_current/F*_V8_ewma_garch_vol_current_cap_uncapped_seed_*/test_policy_history.csv,repo://outputs/tables/final_corrected_limited_td3_60ep_10seeds/per_candidate/V8_ewma_garch_vol_current/F*_V8_ewma_garch_vol_current_cap_uncapped_seed_*/test_policy_history.csv,40,2280,228,2022-01-07,2026-05-15,52,72,10,10,financial_net_return,net return after asset-specific transaction costs,"returns, weights, turnover, costs, equity and drawdown",naive,0,0,02fb30b8ef9efce8abd34954b68bade661ef7bc58d6b675b0cf156bcf97f356f,228,2022-01-07,2026-05-15,True
zero_cash,60_40_SPY_TLT,benchmark,/Users/thiagoherrera/Projects/portfolio_drl_outputs/final_corrected_zero_cash_benchmark_comparison/benchmarks/histories/60_40_SPY_TLT_history.csv,external://final_corrected_zero_cash_benchmark_comparison/benchmarks/histories/60_40_SPY_TLT_history.csv,1,593,593,2015-01-09,2026-05-15,593,593,1,1,financial_net_return,net return after asset-specific transaction costs,"returns, weights, turnover, costs, equity and drawdown",naive,0,0,149044aae5f4beb7c3a6dcb8ac65da3b4be7823f66625a227addf682a2d009c1,228,2022-01-07,2026-05-15,True
zero_cash,BuyHold_BTC-USD,benchmark,/Users/thiagoherrera/Projects/portfolio_drl_outputs/final_corrected_zero_cash_benchmark_comparison/benchmarks/histories/BuyHold_BTC-USD_history.csv,external://final_corrected_zero_cash_benchmark_comparison/benchmarks/histories/BuyHold_BTC-USD_history.csv,1,593,593,2015-01-09,2026-05-15,593,593,1,1,financial_net_return,net return after asset-specific transaction costs,"returns, weights, turnover, costs, equity and drawdown",naive,0,0,4b36ff45a210eb8781563da0fc5577d2215bb5e61b9fcc233fb8144e3f304bb3,228,2022-01-07,2026-05-15,True
zero_cash,BuyHold_GLD,benchmark,/Users/thiagoherrera/Projects/portfolio_drl_outputs/final_corrected_zero_cash_benchmark_comparison/benchmarks/histories/BuyHold_GLD_history.csv,external://final_corrected_zero_cash_benchmark_comparison/benchmarks/histories/BuyHold_GLD_history.csv,1,593,593,2015-01-09,2026-05-15,593,593,1,1,financial_net_return,net return after asset-specific transaction costs,"returns, weights, turnover, costs, equity and drawdown",naive,0,0,5178ce5f7cbb65d20b8c75656894a3bc1cd8e446bbf42961b0851db3d48b7219,228,2022-01-07,2026-05-15,True
zero_cash,BuyHold_SPY,benchmark,/Users/thiagoherrera/Projects/portfolio_drl_outputs/final_corrected_zero_cash_benchmark_comparison/benchmarks/histories/BuyHold_SPY_history.csv,external://final_corrected_zero_cash_benchmark_comparison/benchmarks/histories/BuyHold_SPY_history.csv,1,593,593,2015-01-09,2026-05-15,593,593,1,1,financial_net_return,net return after asset-specific transaction costs,"returns, weights, turnover, costs, equity and drawdown",naive,0,0,f51a95f20d6cd6b0ea7d89e777e2e23ba589eb7366878eb7d5bcf855b4c7fed8,228,2022-01-07,2026-05-15,True
zero_cash,BuyHold_TLT,benchmark,/Users/thiagoherrera/Projects/portfolio_drl_outputs/final_corrected_zero_cash_benchmark_comparison/benchmarks/histories/BuyHold_TLT_history.csv,external://final_corrected_zero_cash_benchmark_comparison/benchmarks/histories/BuyHold_TLT_history.csv,1,593,593,2015-01-09,2026-05-15,593,593,1,1,financial_net_return,net return after asset-specific transaction costs,"returns, weights, turnover, costs, equity and drawdown",naive,0,0,b639c9006292f04a4f2992702db34b06a41b6a09fd9ffb0eb65b5ef5de35f315,228,2022-01-07,2026-05-15,True
