rank_mandate_aware_old,rank_robust_old,rank_sharpe_old,strategy_name,strategy_type_old,base_candidate_old,cap_label_old,transaction_cost_mode_old,cumulative_return_old,annualized_return_old,annualized_volatility_old,sharpe_old,sortino_old,calmar_old,robust_score_old,mandate_aware_score_old,mandate_bucket_old,recovery_required_old,drawdown_multiplier_old,max_drawdown_old,worst_max_drawdown_old,average_turnover_old,average_effective_assets,average_max_weight_old,mean_cash_weight_old,total_transaction_cost_old,mean_transaction_cost_old,mean_btc_weight_old,mean_cash_transaction_cost_contribution_old,mean_btc_transaction_cost_contribution_old,dsr_score_old,dsr_method_old,protocol,strategy_type_aligned,base_candidate_aligned,cap_label_aligned,transaction_cost_mode_aligned,n_observations,start_date,end_date,frequency,cumulative_return_aligned,annualized_return_aligned,annualized_volatility_aligned,sharpe_aligned,sortino_aligned,calmar_aligned,max_drawdown_aligned,average_turnover_aligned,total_transaction_cost_aligned,mean_transaction_cost_aligned,average_max_weight_aligned,average_effective_number_of_assets,mean_cash_weight_aligned,cash_above_10_rate,mean_btc_weight_aligned,mean_cash_transaction_cost_contribution_aligned,mean_btc_transaction_cost_contribution_aligned,std_sharpe,worst_max_drawdown_aligned,dsr_score_aligned,median_aligned_seed_dsr_n25,date_averaged_dsr_n25,dsr_method_aligned,n_aligned_seeds,type,dsr_available,sortino_score,calmar_score,drawdown_score,stability_score,discipline_score,robust_score_aligned,mandate_bucket_aligned,recovery_required_aligned,drawdown_multiplier_aligned,mandate_aware_score_aligned,rank_mandate_aware_aligned,rank_robust_aligned,rank_sharpe_aligned,delta_annualized_return,delta_annualized_volatility,delta_sharpe,delta_max_drawdown,delta_robust_score,delta_mandate_aware_score,change_rank_mandate_aware,change_rank_robust,change_rank_sharpe,change_explanation
11,17,15,60_40_SPY_TLT,benchmark,,,asset_specific,1.4792341808744545,0.0828731687984369,0.1114309430873978,0.7707570315393776,1.099804095523805,0.3083827376091735,0.5620655732884461,0.3555104573500312,eligible_red,0.3674929149813148,0.6325070850186851,-0.2687347853545085,-0.2687347853545085,0.0020236087689713,1.923076923076923,0.6,0.0,0.0003599999999999,6.070826306913996e-07,0.0,0.0,3.3726812816188874e-07,0.7086130332914857,benchmark_history_dsr_n25,zero_cash,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.17068974293223782,0.03659601838492699,0.12506403956913067,0.3496406498886238,0.4356431213797056,0.1473985162481731,-0.24827942177729057,0.0,0.0,0.0,0.5999999999999998,1.9230769230769234,0.0,0.0,0.0,0.0,0.0,0.0,-0.24827942177729057,0.10291550980732272,,0.10291550980732272,aligned_single_history_n25,1,benchmark,True,0.4104961562556169,0.2451739742517729,0.821635752626354,0.9464907257879062,0.9846153846153847,0.4291338837471878,eligible_yellow,0.3302815287620525,0.6697184712379475,0.2873988885795697,12,14,18,-0.04627715041350991,0.013633096481732873,-0.42111638165075377,0.020455363577217944,-0.13293168954125828,-0.06811156877046148,1,-3,3,Benchmark metrics are recomputed on the exact 228-date OOS window rather than full available history. Robust and mandate scores are renormalized in the aligned universe.
12,18,7,BuyHold_BTC-USD,benchmark,,,asset_specific,249.72617472068745,0.6232489539715265,0.665765918279443,1.0580630375269156,1.5589886900141494,0.7629625355876146,0.5591975515143428,0.0,not_eligible,4.460904564626515,0.0,-0.8168801545301511,-0.8168801545301511,0.0026981450252951,1.0,1.0,0.0,0.00092,1.551433389544688e-06,1.0,0.0,1.349072512647555e-06,0.948748945858201,benchmark_history_dsr_n25,zero_cash,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.7074443774278996,0.12977333896755172,0.5131787191095913,0.4918542301179646,0.3953367308720968,0.20182000523787358,-0.6430152393197859,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.6430152393197859,0.16851613424311573,,0.16851613424311573,aligned_single_history_n25,1,benchmark,True,0.39712096260213636,0.2804689288105685,0.0,0.7,0.8,0.29607281855547574,not_eligible,1.80124002518919,0.0,0.0,15,18,17,-0.49347561500397474,-0.15258719916985164,-0.566208807408951,0.17386491521036518,-0.26312473295886707,0.0,3,0,10,Benchmark metrics are recomputed on the exact 228-date OOS window rather than full available history. Robust and mandate scores are renormalized in the aligned universe.
7,13,14,BuyHold_GLD,benchmark,,,asset_specific,2.6563058690574155,0.1203998374163939,0.151432882990567,0.8271301262123212,1.2237818435034011,0.6072823571638948,0.6249964581770082,0.4704428052971339,clean_mandate,0.2472872459640442,0.7527127540359557,-0.1982600613966134,-0.1982600613966134,0.0026981450252951,1.0,1.0,0.0,0.00044,7.419898819561552e-07,0.0,0.0,3.3726812816188874e-07,0.7766980970217725,benchmark_history_dsr_n25,zero_cash,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,1.4408633139757354,0.22570823774842297,0.1664043116160493,1.3081884451675567,2.1982624534964055,1.3010381844969388,-0.1734831770796148,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1734831770796148,0.7460632557929164,,0.7460632557929164,aligned_single_history_n25,1,benchmark,True,0.9954003019140825,0.9933648162144073,0.9773228376960634,0.993196851308819,0.8,0.9074901111488645,clean_mandate,0.20989672837708917,0.7901032716229108,0.7170109057841568,1,1,1,0.10530840033202907,0.014971428625482286,0.48105831895523554,0.024776884316998593,0.28249365297185625,0.24656810048702293,-6,-12,-13,Benchmark metrics are recomputed on the exact 228-date OOS window rather than full available history. Robust and mandate scores are renormalized in the aligned universe.
12,16,12,BuyHold_SPY,benchmark,,,asset_specific,3.342940406350209,0.1374363014860526,0.1670887326203726,0.855767991611123,1.1940536411664493,0.4317963632394241,0.5781298206796586,0.0,not_eligible,0.4668986025733449,0.5331013974266551,-0.3182896225780541,-0.3182896225780542,0.0026981450252951,1.0,1.0,0.0,0.00044,7.419898819561551e-07,0.0,0.0,3.3726812816188874e-07,0.7765307525830739,benchmark_history_dsr_n25,zero_cash,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.6497481321827132,0.12095061740240043,0.16816682908247196,0.7634141117043921,1.096043735503628,0.5380491913795269,-0.22479472014870994,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22479472014870994,0.33826318770281705,,0.33826318770281705,aligned_single_history_n25,1,benchmark,True,0.6296422021194238,0.4985297365267339,0.8705187514328327,0.9611556254298498,0.8,0.5938067192979866,eligible_yellow,0.2899808940824461,0.7100191059175539,0.42161411592379233,6,6,11,-0.01648568408365217,0.0010780964620993594,-0.09235387990673094,0.09349490242934416,0.015676898618327995,0.42161411592379233,-6,-10,-1,Benchmark metrics are recomputed on the exact 228-date OOS window rather than full available history. Robust and mandate scores are renormalized in the aligned universe.
12,19,19,BuyHold_TLT,benchmark,,,asset_specific,-0.1043519748560168,-0.009617540723981,0.1404057451829499,0.0015251202375684,-0.0941138793245733,-0.0201091164999358,0.1682420994288606,0.0,not_eligible,0.9166917276643104,0.0833082723356896,-0.4782676913732994,-0.4782676913732993,0.0026981450252951,1.0,1.0,0.0,0.00044,7.419898819561551e-07,0.0,0.0,3.3726812816188874e-07,0.0231853043638058,benchmark_history_dsr_n25,zero_cash,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,-0.3401236119888653,-0.09045372223037107,0.1516641905461336,-0.5489279650114005,-0.8013945473501016,-0.23063661390271453,-0.39219151157207677,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39219151157207677,0.0008432122246800899,,0.0008432122246800899,aligned_single_history_n25,1,benchmark,True,0.0,0.0,0.5220852356585313,0.8566255706975593,0.8,0.20422830608593964,not_eligible,0.6452550746477188,0.3547449253522812,0.0,15,19,19,-0.08083618150639008,0.011258445363183683,-0.5504530852489689,0.08607617980122262,0.03598620665707905,0.0,3,0,0,Benchmark metrics are recomputed on the exact 228-date OOS window rather than full available history. Robust and mandate scores are renormalized in the aligned universe.
12,8,1,Equal_Weight,benchmark,,,asset_specific,7.028762387831765,0.2004066062724641,0.152744549564215,1.2741230530453893,2.133417577222726,0.6584389899401593,0.7255703571055817,0.0,not_eligible,0.4375380724561609,0.5624619275438392,-0.3043662500768334,-0.3043662500768334,0.0,4.999999999999999,0.1999999999999999,0.1999999999999999,0.0,0.0,0.1999999999999999,0.0,0.0,0.9851518850557038,benchmark_history_dsr_n25,zero_cash,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.5136658991736218,0.0991563667059947,0.13021917701748498,0.7913205232039142,1.1963432275469057,0.3945776085810408,-0.2512975002879043,0.0,0.0,0.0,0.2,4.999999999999999,0.2,1.0,0.2,0.0,0.0,0.0,-0.2512975002879043,0.3660421342444993,,0.3660421342444993,aligned_single_history_n25,1,benchmark,True,0.6629253890416396,0.4054815107365612,0.8153536745925141,0.9446061023777541,0.5,0.5652576816556425,eligible_red,0.3356439979625254,0.6643560020374746,0.3755323335057142,9,9,9,-0.10125023956646939,-0.02252537254673001,-0.4828025298414751,0.05306874978892906,-0.1603126754499392,0.3755323335057142,-3,1,8,Benchmark metrics are recomputed on the exact 228-date OOS window rather than full available history. Robust and mandate scores are renormalized in the aligned universe.
12,5,2,Equal_Weight_Risky,benchmark,,,asset_specific,11.951858550336969,0.2518148014222139,0.1909311051580119,1.274083520362564,2.14453727387035,0.6856804105313767,0.7376086912560358,0.0,not_eligible,0.5803981604793571,0.4196018395206429,-0.3672480612754663,-0.3672480612754663,0.0006745362563237,4.0,0.25,0.0,7.999999999999998e-05,1.3490725126475546e-07,0.25,0.0,8.431703204047217e-08,0.9851474809322294,benchmark_history_dsr_n25,zero_cash,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.6595907740907703,0.12247239547146793,0.16277397127185625,0.7913205232039137,1.1821249668671356,0.40074254472994403,-0.30561365914867045,0.0,0.0,0.0,0.25,4.0,0.0,0.0,0.25,0.0,0.0,0.0,-0.30561365914867045,0.3660421342444989,,0.3660421342444989,aligned_single_history_n25,1,benchmark,True,0.6582072292755923,0.4094797685070275,0.702295532711245,0.9106886598133734,1.0,0.5697632357178978,not_eligible,0.4401204936922908,0.5598795063077092,0.0,15,8,10,-0.12934240595074598,-0.02815713388615565,-0.48276299715865034,0.06163440212679583,-0.167845455538138,0.0,3,3,8,Benchmark metrics are recomputed on the exact 228-date OOS window rather than full available history. Robust and mandate scores are renormalized in the aligned universe.
1,3,10,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,V3_real_macro_vintage_clean_no_dxy,0.70,asset_specific,0.1138143167332224,0.0868668949379369,0.1143426519290021,0.9233923384992592,2.1094083941647757,2.1550268982517764,0.7473019931544701,0.6605601145650347,clean_mandate,0.1160733938675653,0.8839266061324347,-0.104001577768405,-0.2964720154796776,0.2703728895192057,1.9532801685062513,0.6579422224377555,0.2784367075949944,,6.624903492006266e-05,,,,,td3_recovered_report_score_inputs,zero_cash,TD3,V3_real_macro_vintage_clean_no_dxy,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.44476238271256086,0.08753889664548997,0.09769877123762447,0.9083162623487628,1.3729643114658652,0.4946959689798298,-0.17695494229721365,0.2767384531097496,0.01590138775093056,6.974292873215158e-05,0.6571236875240694,1.9568992412966464,0.2717733138727814,1.0,0.0651017165246665,0.0,3.456512339056599e-05,0.3163149002634915,-0.2964720154796764,0.27959115665041356,0.27959115665041356,0.44439110209167193,median_aligned_seed_history_n25,10,td3,True,0.7215349834745068,0.4704130854945606,0.9700964186564567,0.3639954477483033,0.4913798482593293,0.5287499607752029,clean_mandate,0.21500030969278316,0.7849996903072168,0.4150685554584873,8,11,4,0.0006720017075530771,-0.016643880691377635,-0.015076076150496331,-0.07295336452880864,-0.21855203237926724,-0.2454915591065474,7,8,-6,TD3 metrics are recomputed from ten full-OOS seed histories with identical 228-date indices and their date-average; nonlinear metrics therefore differ from legacy means of fold/seed metrics. Robust and mandate scores are renormalized in the aligned universe.
3,6,16,V4_real_garch_current_cap_0p70,TD3,V4_real_garch_current,0.70,asset_specific,0.0632031828153722,0.0545916670640039,0.0967326839331811,0.7256884425062446,1.954318867950466,2.173861639787358,0.7304168226066754,0.6535598621624215,clean_mandate,0.1052234259473524,0.8947765740526475,-0.0952055697309883,-0.3914256056533857,0.4456788756784925,2.007250630839456,0.6493073259324007,0.3705560058752329,,0.0001074964777711,,,,,td3_recovered_report_score_inputs,zero_cash,TD3,V4_real_garch_current,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.23231092210102222,0.04879496611691381,0.07594821060106333,0.6653900842299352,0.9654725393935006,0.28382659921086417,-0.17191822842742943,0.4452178812134046,0.024589697471798497,0.00010784955031490568,0.650403030510398,2.004302828951787,0.37011333210439334,1.0,0.07368101486254598,0.0,5.366786304851043e-05,0.3769077157292766,-0.3914256056533859,0.22499305162543423,0.22499305162543423,0.2683364935061234,median_aligned_seed_history_n25,10,td3,True,0.5863137122312045,0.3336541514410277,0.9805802511521441,0.19888492533507532,0.5,0.4434670184284059,clean_mandate,0.20761020750516912,0.7923897924948309,0.3513987387107859,11,13,12,-0.005796700947090096,-0.020784473332117775,-0.06029835827630947,-0.07671265869644113,-0.2869498041782695,-0.30216112345163554,8,7,-4,TD3 metrics are recomputed from ten full-OOS seed histories with identical 228-date indices and their date-average; nonlinear metrics therefore differ from legacy means of fold/seed metrics. Robust and mandate scores are renormalized in the aligned universe.
5,7,17,V5_no_volatility_block_cap_0p50,TD3,V5_no_volatility_block,0.50,asset_specific,0.0812280639761838,0.0667285458250577,0.1156123336805923,0.5686403910199787,1.822275354827628,2.338366384568482,0.7260082596445853,0.6264101749624947,clean_mandate,0.1371858837127395,0.8628141162872605,-0.1206362879433997,-0.4248634687690455,0.419475576098095,2.809332442509802,0.4935448022153481,0.2381637767485817,,0.0001151414080626,,,,,td3_recovered_report_score_inputs,zero_cash,TD3,V5_no_volatility_block,0p50,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.2643763596311586,0.05495749251344351,0.09890172574955956,0.5904504654848056,0.8292302310022852,0.21658699846892637,-0.25374326668702707,0.4195252410779325,0.026103251820968086,0.00011448794658319336,0.4934377478474876,2.800666286309067,0.24155553827371967,0.9736842105263158,0.09719205908823873,0.0,6.1308209902845e-05,0.2399223104075714,-0.4454422845198692,0.2070326524268207,0.2070326524268207,0.22059231648654992,median_aligned_seed_history_n25,10,td3,True,0.5411033315550752,0.2900460345593416,0.8102628542848912,0.40438117907640087,0.513157894736842,0.4159751097381454,eligible_red,0.3400214100053012,0.6599785899946988,0.27453466639787133,14,15,14,-0.011771053311614196,-0.01671060793103274,0.021810074464826967,-0.13310697874362737,-0.3100331499064399,-0.3518755085646234,9,8,-3,TD3 metrics are recomputed from ten full-OOS seed histories with identical 228-date indices and their date-average; nonlinear metrics therefore differ from legacy means of fold/seed metrics. Robust and mandate scores are renormalized in the aligned universe.
