protocol,date,observation_number
zero_cash,2022-01-07,1
zero_cash,2022-01-14,2
zero_cash,2022-01-21,3
zero_cash,2022-01-28,4
zero_cash,2022-02-04,5
zero_cash,2022-02-11,6
zero_cash,2022-02-18,7
zero_cash,2022-02-25,8
zero_cash,2022-03-04,9
zero_cash,2022-03-11,10
zero_cash,2022-03-18,11
zero_cash,2022-03-25,12
zero_cash,2022-04-01,13
zero_cash,2022-04-08,14
zero_cash,2022-04-15,15
zero_cash,2022-04-22,16
zero_cash,2022-04-29,17
zero_cash,2022-05-06,18
zero_cash,2022-05-13,19
zero_cash,2022-05-20,20
zero_cash,2022-05-27,21
zero_cash,2022-06-03,22
zero_cash,2022-06-10,23
zero_cash,2022-06-17,24
zero_cash,2022-06-24,25
zero_cash,2022-07-01,26
zero_cash,2022-07-08,27
zero_cash,2022-07-15,28
zero_cash,2022-07-22,29
zero_cash,2022-07-29,30
zero_cash,2022-08-05,31
zero_cash,2022-08-12,32
zero_cash,2022-08-19,33
zero_cash,2022-08-26,34
zero_cash,2022-09-02,35
zero_cash,2022-09-09,36
zero_cash,2022-09-16,37
zero_cash,2022-09-23,38
zero_cash,2022-09-30,39
zero_cash,2022-10-07,40
zero_cash,2022-10-14,41
zero_cash,2022-10-21,42
zero_cash,2022-10-28,43
zero_cash,2022-11-04,44
zero_cash,2022-11-11,45
zero_cash,2022-11-18,46
zero_cash,2022-11-25,47
zero_cash,2022-12-02,48
zero_cash,2022-12-09,49
zero_cash,2022-12-16,50
zero_cash,2022-12-23,51
zero_cash,2022-12-30,52
zero_cash,2023-01-06,53
zero_cash,2023-01-13,54
zero_cash,2023-01-20,55
zero_cash,2023-01-27,56
zero_cash,2023-02-03,57
zero_cash,2023-02-10,58
zero_cash,2023-02-17,59
zero_cash,2023-02-24,60
zero_cash,2023-03-03,61
zero_cash,2023-03-10,62
zero_cash,2023-03-17,63
zero_cash,2023-03-24,64
zero_cash,2023-03-31,65
zero_cash,2023-04-07,66
zero_cash,2023-04-14,67
zero_cash,2023-04-21,68
zero_cash,2023-04-28,69
zero_cash,2023-05-05,70
zero_cash,2023-05-12,71
zero_cash,2023-05-19,72
zero_cash,2023-05-26,73
zero_cash,2023-06-02,74
zero_cash,2023-06-09,75
zero_cash,2023-06-16,76
zero_cash,2023-06-23,77
zero_cash,2023-06-30,78
zero_cash,2023-07-07,79
zero_cash,2023-07-14,80
zero_cash,2023-07-21,81
zero_cash,2023-07-28,82
zero_cash,2023-08-04,83
zero_cash,2023-08-11,84
zero_cash,2023-08-18,85
zero_cash,2023-08-25,86
zero_cash,2023-09-01,87
zero_cash,2023-09-08,88
zero_cash,2023-09-15,89
zero_cash,2023-09-22,90
zero_cash,2023-09-29,91
zero_cash,2023-10-06,92
zero_cash,2023-10-13,93
zero_cash,2023-10-20,94
zero_cash,2023-10-27,95
zero_cash,2023-11-03,96
zero_cash,2023-11-10,97
zero_cash,2023-11-17,98
zero_cash,2023-11-24,99
zero_cash,2023-12-01,100
zero_cash,2023-12-08,101
zero_cash,2023-12-15,102
zero_cash,2023-12-22,103
zero_cash,2023-12-29,104
zero_cash,2024-01-05,105
zero_cash,2024-01-12,106
zero_cash,2024-01-19,107
zero_cash,2024-01-26,108
zero_cash,2024-02-02,109
zero_cash,2024-02-09,110
zero_cash,2024-02-16,111
zero_cash,2024-02-23,112
zero_cash,2024-03-01,113
zero_cash,2024-03-08,114
zero_cash,2024-03-15,115
zero_cash,2024-03-22,116
zero_cash,2024-03-29,117
zero_cash,2024-04-05,118
zero_cash,2024-04-12,119
zero_cash,2024-04-19,120
zero_cash,2024-04-26,121
zero_cash,2024-05-03,122
zero_cash,2024-05-10,123
zero_cash,2024-05-17,124
zero_cash,2024-05-24,125
zero_cash,2024-05-31,126
zero_cash,2024-06-07,127
zero_cash,2024-06-14,128
zero_cash,2024-06-21,129
zero_cash,2024-06-28,130
zero_cash,2024-07-05,131
zero_cash,2024-07-12,132
zero_cash,2024-07-19,133
zero_cash,2024-07-26,134
zero_cash,2024-08-02,135
zero_cash,2024-08-09,136
zero_cash,2024-08-16,137
zero_cash,2024-08-23,138
zero_cash,2024-08-30,139
zero_cash,2024-09-06,140
zero_cash,2024-09-13,141
zero_cash,2024-09-20,142
zero_cash,2024-09-27,143
zero_cash,2024-10-04,144
zero_cash,2024-10-11,145
zero_cash,2024-10-18,146
zero_cash,2024-10-25,147
zero_cash,2024-11-01,148
zero_cash,2024-11-08,149
zero_cash,2024-11-15,150
zero_cash,2024-11-22,151
zero_cash,2024-11-29,152
zero_cash,2024-12-06,153
zero_cash,2024-12-13,154
zero_cash,2024-12-20,155
zero_cash,2024-12-27,156
zero_cash,2025-01-03,157
zero_cash,2025-01-10,158
zero_cash,2025-01-17,159
zero_cash,2025-01-24,160
zero_cash,2025-01-31,161
zero_cash,2025-02-07,162
zero_cash,2025-02-14,163
zero_cash,2025-02-21,164
zero_cash,2025-02-28,165
zero_cash,2025-03-07,166
zero_cash,2025-03-14,167
zero_cash,2025-03-21,168
zero_cash,2025-03-28,169
zero_cash,2025-04-04,170
zero_cash,2025-04-11,171
zero_cash,2025-04-18,172
zero_cash,2025-04-25,173
zero_cash,2025-05-02,174
zero_cash,2025-05-09,175
zero_cash,2025-05-16,176
zero_cash,2025-05-23,177
zero_cash,2025-05-30,178
zero_cash,2025-06-06,179
zero_cash,2025-06-13,180
zero_cash,2025-06-20,181
zero_cash,2025-06-27,182
zero_cash,2025-07-04,183
zero_cash,2025-07-11,184
zero_cash,2025-07-18,185
zero_cash,2025-07-25,186
zero_cash,2025-08-01,187
zero_cash,2025-08-08,188
zero_cash,2025-08-15,189
zero_cash,2025-08-22,190
zero_cash,2025-08-29,191
zero_cash,2025-09-05,192
zero_cash,2025-09-12,193
zero_cash,2025-09-19,194
zero_cash,2025-09-26,195
zero_cash,2025-10-03,196
zero_cash,2025-10-10,197
zero_cash,2025-10-17,198
zero_cash,2025-10-24,199
zero_cash,2025-10-31,200
zero_cash,2025-11-07,201
zero_cash,2025-11-14,202
zero_cash,2025-11-21,203
zero_cash,2025-11-28,204
zero_cash,2025-12-05,205
zero_cash,2025-12-12,206
zero_cash,2025-12-19,207
zero_cash,2025-12-26,208
zero_cash,2026-01-02,209
zero_cash,2026-01-09,210
zero_cash,2026-01-16,211
zero_cash,2026-01-23,212
zero_cash,2026-01-30,213
zero_cash,2026-02-06,214
zero_cash,2026-02-13,215
zero_cash,2026-02-20,216
zero_cash,2026-02-27,217
zero_cash,2026-03-06,218
zero_cash,2026-03-13,219
zero_cash,2026-03-20,220
zero_cash,2026-03-27,221
zero_cash,2026-04-03,222
zero_cash,2026-04-10,223
zero_cash,2026-04-17,224
zero_cash,2026-04-24,225
zero_cash,2026-05-01,226
zero_cash,2026-05-08,227
zero_cash,2026-05-15,228
bil_cash,2022-01-07,1
bil_cash,2022-01-14,2
bil_cash,2022-01-21,3
bil_cash,2022-01-28,4
bil_cash,2022-02-04,5
bil_cash,2022-02-11,6
bil_cash,2022-02-18,7
bil_cash,2022-02-25,8
bil_cash,2022-03-04,9
bil_cash,2022-03-11,10
bil_cash,2022-03-18,11
bil_cash,2022-03-25,12
bil_cash,2022-04-01,13
bil_cash,2022-04-08,14
bil_cash,2022-04-15,15
bil_cash,2022-04-22,16
bil_cash,2022-04-29,17
bil_cash,2022-05-06,18
bil_cash,2022-05-13,19
bil_cash,2022-05-20,20
bil_cash,2022-05-27,21
bil_cash,2022-06-03,22
bil_cash,2022-06-10,23
bil_cash,2022-06-17,24
bil_cash,2022-06-24,25
bil_cash,2022-07-01,26
bil_cash,2022-07-08,27
bil_cash,2022-07-15,28
bil_cash,2022-07-22,29
