protocol,strategy_name,strategy_type_existing,robust_score_existing,mandate_aware_score_existing,rank_robust_existing,rank_mandate_aware_existing,rank_sharpe_existing,strategy_type_controlled_mean_path,robust_score_controlled_mean_path,mandate_aware_score_controlled_mean_path,rank_robust_controlled_mean_path,rank_mandate_aware_controlled_mean_path,rank_sharpe_controlled_mean_path,strategy_type_seed_aggregated,robust_score_seed_aggregated,mandate_aware_score_seed_aggregated,rank_robust_seed_aggregated,rank_mandate_aware_seed_aggregated,rank_sharpe_seed_aggregated,delta_robust_seed_vs_controlled_mean_path,delta_mandate_seed_vs_controlled_mean_path
zero_cash,BuyHold_GLD,benchmark,0.9074901111488644,0.7170109057841568,1,1,1,benchmark,0.8724901111488644,0.6893572912773549,1,1,1,benchmark,0.8724901111488644,0.6893572912773549,1,1,1,0.0,0.0
zero_cash,rolling_markowitz_long_only_52p,benchmark,0.9001860655429608,0.6599855630938487,2,2,2,benchmark,0.8651860655429607,0.6343247629632093,2,2,2,benchmark,0.8651860655429607,0.6343247629632093,2,2,2,0.0,0.0
zero_cash,trend_spy_cash_12p,benchmark,0.6205999769023157,0.5001067779412814,4,3,6,benchmark,0.5855999769023156,0.47190223736860254,4,3,6,benchmark,0.5855999769023156,0.47190223736860254,4,3,4,0.0,0.0
zero_cash,defensive_risk_off_12p,benchmark,0.549504604012012,0.4219843661697625,10,4,13,benchmark,0.5145046040120119,0.3951066062600042,12,8,13,benchmark,0.5145046040120119,0.3951066062600042,11,7,12,0.0,0.0
zero_cash,rolling_markowitz_min_variance_52p,benchmark,0.602541768543386,0.421688331204938,5,5,7,benchmark,0.567541768543386,0.3971936117303825,5,6,7,benchmark,0.567541768543386,0.3971936117303825,5,5,5,0.0,0.0
zero_cash,BuyHold_SPY,benchmark,0.5938067192979866,0.4216141159237923,6,6,11,benchmark,0.5588067192979865,0.3967634472166779,6,7,11,benchmark,0.5588067192979865,0.3967634472166779,6,6,9,0.0,0.0
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,0.5204788152276412,0.4152468984336249,12,7,3,TD3,0.5204788152276412,0.41524689843362494,11,5,3,TD3,0.4693060776497923,0.3435010487627105,12,10,11,-0.05117273757784885,-0.07174584967091446
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,0.5287499607752029,0.4150685554584873,11,8,4,TD3,0.5507573784727154,0.4323443715354962,7,4,4,TD3,0.5395905702200859,0.40881352664073667,8,4,10,-0.011166808252629501,-0.02353084489475954
zero_cash,Equal_Weight,benchmark,0.5652576816556425,0.3755323335057142,9,9,9,benchmark,0.5302576816556425,0.35227987343440254,10,10,9,benchmark,0.5302576816556425,0.35227987343440254,10,8,7,0.0,0.0
zero_cash,rolling_risk_parity_inverse_vol_12p,benchmark,0.5750337680629098,0.3623593244871615,7,10,8,benchmark,0.5400337680629098,0.3403039651996994,8,11,8,benchmark,0.5400337680629098,0.3403039651996994,7,11,6,0.0,0.0
zero_cash,V4_real_garch_current_cap_0p70,TD3,0.4434670184284059,0.3513987387107859,13,11,12,TD3,0.44969672192180726,0.35633509216922654,14,9,12,TD3,0.4516693616265811,0.3495872517001036,14,9,13,0.0019726397047738486,-0.006747840469122968
zero_cash,60_40_SPY_TLT,benchmark,0.4291338837471878,0.2873988885795697,14,12,18,benchmark,0.3941338837471878,0.26395874208624154,16,14,18,benchmark,0.3941338837471878,0.26395874208624154,15,13,17,0.0,0.0
zero_cash,V8_ewma_garch_vol_current_cap_uncapped,TD3,0.3759809978374099,0.2796394088966916,17,13,15,TD3,0.4006132690290196,0.2979598926323708,15,13,15,TD3,0.3601153750418297,0.21826686988536875,16,14,18,-0.04049789398718989,-0.07969302274700207
zero_cash,V5_no_volatility_block_cap_0p50,TD3,0.4159751097381454,0.2745346663978713,15,14,14,TD3,0.45787433211238887,0.30218725610229885,13,12,14,TD3,0.4527595126574402,0.2821840788419499,13,12,14,-0.0051148194549486825,-0.020003177260348948
zero_cash,momentum_winner_12p,benchmark,0.715253378642922,0.0,3,15,5,benchmark,0.680253378642922,0.0,3,15,5,benchmark,0.680253378642922,0.0,3,15,3,0.0,0.0
zero_cash,Equal_Weight_Risky,benchmark,0.5697632357178978,0.0,8,15,10,benchmark,0.5347632357178977,0.0,9,15,10,benchmark,0.5347632357178977,0.0,9,15,8,0.0,0.0
zero_cash,risk_adjusted_momentum_winner_12p_12p,benchmark,0.3812400051875868,0.0,16,15,16,benchmark,0.3462400051875869,0.0,17,15,16,benchmark,0.3462400051875869,0.0,17,15,15,0.0,0.0
zero_cash,BuyHold_BTC-USD,benchmark,0.2960728185554757,0.0,18,15,17,benchmark,0.2610728185554757,0.0,18,15,17,benchmark,0.2610728185554757,0.0,18,15,16,0.0,0.0
zero_cash,BuyHold_TLT,benchmark,0.2042283060859396,0.0,19,15,19,benchmark,0.16922830608593967,0.0,19,15,19,benchmark,0.16922830608593967,0.0,19,15,19,0.0,0.0
bil_cash,BuyHold_GLD,benchmark,0.8940104195506251,0.70636055735192,1,1,1,benchmark,0.8590104195506251,0.6787069428451181,1,1,1,benchmark,0.8590104195506251,0.6787069428451181,1,1,1,0.0,0.0
bil_cash,rolling_markowitz_long_only_52p,benchmark,0.8813828766839864,0.646199735596402,2,2,2,benchmark,0.8463828766839864,0.6205389344347483,2,2,2,benchmark,0.8463828766839864,0.6205389344347483,2,2,2,0.0,0.0
bil_cash,trend_spy_cash_12p,benchmark,0.6307053071518842,0.5130051662587489,4,3,5,benchmark,0.5957053071518841,0.4845367506366613,4,3,5,benchmark,0.5957053071518841,0.4845367506366613,4,3,4,0.0,0.0
bil_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,0.530747205127654,0.4249544061880089,11,4,3,TD3,0.5447768280315761,0.43618753188811304,6,4,3,TD3,0.5296984100769495,0.37704917464187354,9,7,10,-0.01507841795462661,-0.059138357246239504
bil_cash,rolling_markowitz_min_variance_52p,benchmark,0.5915301461688838,0.4139815940173063,5,5,7,benchmark,0.5565301461688837,0.3894868900965547,5,5,7,benchmark,0.5565301461688837,0.3894868900965547,5,4,6,0.0,0.0
bil_cash,defensive_risk_off_12p,benchmark,0.5367105882857228,0.4080566086967597,10,6,13,benchmark,0.5017105882857228,0.38144639899323246,11,7,13,benchmark,0.5017105882857228,0.38144639899323246,11,6,11,0.0,0.0
bil_cash,BuyHold_SPY,benchmark,0.5743428531552838,0.4077945682711025,7,7,11,benchmark,0.5393428531552837,0.38294388925407,8,6,11,benchmark,0.5393428531552837,0.38294388925407,7,5,9,0.0,0.0
bil_cash,Equal_Weight,benchmark,0.5774954472636737,0.3846942204149988,6,8,6,benchmark,0.5424954472636737,0.3613792353734329,7,10,6,benchmark,0.5424954472636737,0.3613792353734329,6,9,5,0.0,0.0
bil_cash,risk_adjusted_momentum_winner_12p_12p,benchmark,0.4247657147238476,0.3825847419120535,15,9,18,benchmark,0.38976571472384763,0.35106038506600395,16,11,18,benchmark,0.38976571472384763,0.35106038506600395,16,10,18,0.0,0.0
bil_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,0.4822137820118486,0.3715361409617836,12,10,10,TD3,0.4899686754976878,0.3775111323593285,12,8,10,TD3,0.4966860246291714,0.36624299835603485,12,8,12,0.006717349131483585,-0.011268134003293628
bil_cash,rolling_risk_parity_inverse_vol_12p,benchmark,0.5661012418864256,0.3567305409902018,8,11,8,benchmark,0.5311012418864256,0.33467517701846555,9,12,8,benchmark,0.5311012418864256,0.33467517701846555,8,12,7,0.0,0.0
bil_cash,V4_real_garch_current_cap_0p80,TD3,0.4473457705120777,0.3409619883458086,13,12,14,TD3,0.47976249928118053,0.36566965973862814,13,9,14,TD3,0.4735375574069296,0.338608943786527,13,11,14,-0.006224941874250933,-0.027060715952101133
bil_cash,V8_ewma_garch_vol_current_cap_0p70,TD3,0.4317961798116814,0.332909386271348,14,13,12,TD3,0.43179617981168145,0.33290938627134803,14,13,12,TD3,0.43009681556996165,0.28988174795738814,14,13,13,-0.0016993642417197918,-0.04302763831395989
bil_cash,60_40_SPY_TLT,benchmark,0.4120283188179073,0.2759430259242926,16,14,17,benchmark,0.3770283188179073,0.25250287517189135,17,14,17,benchmark,0.3770283188179073,0.25250287517189135,17,14,17,0.0,0.0
bil_cash,V5_no_volatility_block_cap_0p70,TD3,0.3603068426826273,0.2140065627477826,17,15,15,TD3,0.40628097344562064,0.24131319291514713,15,15,15,TD3,0.40825480218666643,0.0,15,15,16,0.001973828741045791,-0.24131319291514713
bil_cash,momentum_winner_12p,benchmark,0.7215176353449761,0.0,3,16,4,benchmark,0.6865176353449761,0.0,3,16,4,benchmark,0.6865176353449761,0.0,3,15,3,0.0,0.0
bil_cash,Equal_Weight_Risky,benchmark,0.5590741458841388,0.0,9,16,9,benchmark,0.5240741458841388,0.0,10,16,9,benchmark,0.5240741458841388,0.0,10,15,8,0.0,0.0
bil_cash,BuyHold_BTC-USD,benchmark,0.2956824614769322,0.0,18,16,16,benchmark,0.26068246147693214,0.0,18,16,16,benchmark,0.26068246147693214,0.0,18,15,15,0.0,0.0
bil_cash,BuyHold_TLT,benchmark,0.1919817687566268,0.0,19,16,19,benchmark,0.15698176875662678,0.0,19,16,19,benchmark,0.15698176875662678,0.0,19,15,19,0.0,0.0
