protocol,profile,candidate,n_seeds,n_feasible_seeds,feasible_seed_rate,max_drawdown_pass_rate,volatility_pass_rate,effective_assets_pass_rate,turnover_pass_rate
zero_cash,aggressive,V3_real_macro_vintage_clean_no_dxy_cap_0p70,10,0,0.0,0.8,1.0,1.0,0.0
zero_cash,aggressive,V4_real_garch_current_cap_0p70,10,0,0.0,0.8,1.0,1.0,0.0
zero_cash,aggressive,V5_no_volatility_block_cap_0p50,10,0,0.0,0.5,1.0,1.0,0.0
zero_cash,aggressive,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,10,0,0.0,0.9,1.0,1.0,0.0
zero_cash,aggressive,V8_ewma_garch_vol_current_cap_uncapped,10,0,0.0,0.6,1.0,0.0,0.0
zero_cash,conservative,V3_real_macro_vintage_clean_no_dxy_cap_0p70,10,0,0.0,0.0,0.2,0.0,0.0
zero_cash,conservative,V4_real_garch_current_cap_0p70,10,0,0.0,0.0,0.5,0.0,0.0
zero_cash,conservative,V5_no_volatility_block_cap_0p50,10,0,0.0,0.0,0.0,0.0,0.0
zero_cash,conservative,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,10,0,0.0,0.0,0.2,0.0,0.0
zero_cash,conservative,V8_ewma_garch_vol_current_cap_uncapped,10,0,0.0,0.0,0.0,0.0,0.0
zero_cash,moderate,V3_real_macro_vintage_clean_no_dxy_cap_0p70,10,0,0.0,0.2,0.8,0.0,0.0
zero_cash,moderate,V4_real_garch_current_cap_0p70,10,0,0.0,0.6,1.0,0.0,0.0
zero_cash,moderate,V5_no_volatility_block_cap_0p50,10,0,0.0,0.0,0.9,1.0,0.0
zero_cash,moderate,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,10,0,0.0,0.1,0.8,0.0,0.0
zero_cash,moderate,V8_ewma_garch_vol_current_cap_uncapped,10,0,0.0,0.0,0.2,0.0,0.0
bil_cash,aggressive,V3_real_macro_vintage_clean_no_dxy_cap_0p70,10,3,0.3,0.7,1.0,1.0,0.3
bil_cash,aggressive,V4_real_garch_current_cap_0p80,10,0,0.0,0.6,1.0,1.0,0.0
bil_cash,aggressive,V5_no_volatility_block_cap_0p70,10,0,0.0,0.2,1.0,1.0,0.0
bil_cash,aggressive,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,10,1,0.1,0.8,1.0,1.0,0.1
bil_cash,aggressive,V8_ewma_garch_vol_current_cap_0p70,10,0,0.0,0.5,1.0,1.0,0.0
bil_cash,conservative,V3_real_macro_vintage_clean_no_dxy_cap_0p70,10,0,0.0,0.1,0.4,0.0,0.0
bil_cash,conservative,V4_real_garch_current_cap_0p80,10,0,0.0,0.1,0.3,0.0,0.0
bil_cash,conservative,V5_no_volatility_block_cap_0p70,10,0,0.0,0.0,0.0,0.0,0.0
bil_cash,conservative,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,10,0,0.0,0.1,0.0,0.0,0.0
bil_cash,conservative,V8_ewma_garch_vol_current_cap_0p70,10,0,0.0,0.0,0.3,0.0,0.0
bil_cash,moderate,V3_real_macro_vintage_clean_no_dxy_cap_0p70,10,0,0.0,0.3,1.0,0.0,0.0
bil_cash,moderate,V4_real_garch_current_cap_0p80,10,0,0.0,0.1,0.8,0.0,0.0
bil_cash,moderate,V5_no_volatility_block_cap_0p70,10,0,0.0,0.0,0.9,0.0,0.0
bil_cash,moderate,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,10,0,0.0,0.3,0.7,0.0,0.0
bil_cash,moderate,V8_ewma_garch_vol_current_cap_0p70,10,0,0.0,0.3,0.8,0.0,0.0
