protocol,strategy_name,strategy_type,dsr_score,sortino_score,calmar_score,drawdown_score,stability_score,discipline_score,robust_score,mandate_aware_score,rank_robust,rank_mandate_aware
zero_cash,BuyHold_GLD,benchmark,0.7460632557929164,0.9954003019140825,0.9933648162144073,0.9773228376960634,0.643196851308819,0.8,0.8724901111488644,0.6893572912773549,1,1
zero_cash,rolling_markowitz_long_only_52p,benchmark,0.7285523154586597,1.0,1.0,0.9000007650157259,0.6200002295047178,0.992404664050643,0.8651860655429607,0.6343247629632093,2,2
zero_cash,trend_spy_cash_12p,benchmark,0.3655268290285512,0.650974503581654,0.49046759352744823,1.0,0.6499999999999999,0.6530701754385966,0.5855999769023156,0.47190223736860254,4,3
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,0.27959115665041356,0.6297457786868338,0.480391205490963,0.9323640556413233,0.5840696247234294,0.708485111417224,0.5395905702200859,0.40881352664073667,8,4
zero_cash,rolling_markowitz_min_variance_52p,benchmark,0.3837636031280464,0.6852899578930933,0.37966607962535565,0.8578971116737903,0.6073691335021371,1.0,0.567541768543386,0.3971936117303825,5,5
zero_cash,BuyHold_SPY,benchmark,0.338263187702817,0.6296422021194238,0.4985297365267339,0.8705187514328327,0.6111556254298498,0.8,0.5588067192979865,0.3967634472166779,6,6
zero_cash,defensive_risk_off_12p,benchmark,0.245632342999914,0.5469483937628186,0.44519593871706287,0.9463697829547272,0.6339109348864181,0.7407894736842106,0.5145046040120119,0.3951066062600042,11,7
zero_cash,Equal_Weight,benchmark,0.3660421342444993,0.6629253890416396,0.4054815107365612,0.8153536745925141,0.5946061023777542,0.5,0.5302576816556425,0.35227987343440254,10,8
zero_cash,V4_real_garch_current_cap_0p70,TD3,0.22499305162543423,0.5241223410583183,0.388213614268025,0.954711153879073,0.26118196026908913,0.6475877192982457,0.4516693616265811,0.3495872517001036,14,9
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,0.21229828557507802,0.626113514205124,0.45611388282839865,0.8984047320990173,0.21317901183473165,0.6618500314447726,0.4693060776497923,0.3435010487627105,12,10
zero_cash,rolling_risk_parity_inverse_vol_12p,benchmark,0.3685038203948592,0.6648792133054586,0.35873551600106907,0.7764426449063697,0.5829327934719108,1.0,0.5400337680629098,0.3403039651996994,7,11
zero_cash,V5_no_volatility_block_cap_0p50,TD3,0.2070326524268207,0.5035893373013304,0.2974809945909371,0.7688279164135959,0.8233734028188355,0.6554824561403508,0.4527595126574402,0.2821840788419499,13,12
